,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
4670,Juneau,AK,,,,,,,590.0,3.0,,,,,,,,,,
4671,Kenai Peninsula,AK,,,,,,,1124.0,4.0,,,,,,,,,,
4672,Ketchikan Gateway,AK,,,,,,,90.0,0.0,,,,,,,,,,
4673,Kodiak Island,AK,,,,,,,124.0,0.0,,,,,,,,,,
4674,Kusilvak,AK,,,,,,,250.0,0.0,,,,,,,,,,
4675,Matanuska-Susitna,AK,,,,,,,1520.0,3.0,,,,,,,,,,
4676,Nome,AK,,,,,,,138.0,0.0,,,,,,,,,,
4677,North Slope,AK,,,,,,,281.0,0.0,,,,,,,,,,
4678,Northwest Arctic,AK,,,,,,,258.0,0.0,,,,,,,,,,
4679,Out of AK,AK,,,,,,,0.0,0.0,,,,,,,,,,
4680,Petersburg,AK,,,,,,,20.0,1.0,,,,,,,,,,
4681,Prince of Wales-Hyder,AK,,,,,,,35.0,1.0,,,,,,,,,,
4682,Sitka,AK,,,,,,,82.0,0.0,,,,,,,,,,
4683,Skagway,AK,,,,,,,8.0,0.0,,,,,,,,,,
4684,Southeast Fairbanks,AK,,,,,,,90.0,1.0,,,,,,,,,,
4685,Unassigned,AK,,,,,,,68.0,0.0,,,,,,,,,,
4686,Valdez-Cordova,AK,,,,,,,176.0,1.0,,,,,,,,,,
4687,Wrangell,AK,,,,,,,19.0,0.0,,,,,,,,,,
4688,Yakutat,AK,,,,,,,37.0,0.0,,,,,,,,,,
4689,Yukon-Koyukuk,AK,,,,,,,120.0,2.0,,,,,,,,,,
4696,Out of AZ,AZ,,,,,,,0.0,0.0,,,,,,,,,,
4697,Unassigned,AZ,,,,,,,0.0,1.0,,,,,,,,,,
4698,Out of AR,AR,,,,,,,0.0,0.0,,,,,,,,,,
4699,Unassigned,AR,,,,,,,1640.0,0.0,,,,,,,,,,
4700,Out of CA,CA,,,,,,,0.0,0.0,,,,,,,,,,
4701,Unassigned,CA,,,,,,,0.0,0.0,,,,,,,,,,
4702,Out of CO,CO,,,,,,,0.0,0.0,,,,,,,,,,
4703,Unassigned,CO,,,,,,,23.0,0.0,,,,,,,,,,
4704,Out of CT,CT,,,,,,,0.0,0.0,,,,,,,,,,
4705,Unassigned,CT,,,,,,,141.0,0.0,,,,,,,,,,
4706,Out of DE,DE,,,,,,,0.0,0.0,,,,,,,,,,
4707,Unassigned,DE,,,,,,,91.0,0.0,,,,,,,,,,
4711,Out of FL,FL,,,,,,,0.0,0.0,,,,,,,,,,
4712,Unassigned,FL,,,,,,,1925.0,0.0,,,,,,,,,,
4713,Out of GA,GA,,,,,,,15116.0,189.0,,,,,,,,,,
4714,Unassigned,GA,,,,,,,1901.0,6.0,,,,,,,,,,
4715,Kalawao,HI,,,,,,,0.0,0.0,86.0,41.0,45.0,4.7,20.9,0.0,0.0,29.1,33.7,12.7
4716,Out of HI,HI,,,,,,,79.0,1.0,,,,,,,,,,
4717,Unassigned,HI,,,,,,,0.0,0.0,,,,,,,,,,
4718,Out of ID,ID,,,,,,,0.0,0.0,,,,,,,,,,
4719,Unassigned,ID,,,,,,,0.0,0.0,,,,,,,,,,
4720,Out of IL,IL,,,,,,,0.0,0.0,,,,,,,,,,
4721,Unassigned,IL,,,,,,,6320.0,283.0,,,,,,,,,,
4722,Out of IN,IN,,,,,,,0.0,0.0,,,,,,,,,,
4723,Unassigned,IN,,,,,,,0.0,240.0,,,,,,,,,,
4724,Out of IA,IA,,,,,,,0.0,0.0,,,,,,,,,,
4725,Unassigned,IA,,,,,,,47.0,0.0,,,,,,,,,,
4726,Out of KS,KS,,,,,,,0.0,0.0,,,,,,,,,,
4727,Unassigned,KS,,,,,,,0.0,0.0,,,,,,,,,,
4728,Out of KY,KY,,,,,,,0.0,0.0,,,,,,,,,,
4729,Unassigned,KY,,,,,,,0.0,0.0,,,,,,,,,,
4730,Out of LA,LA,,,,,,,0.0,0.0,,,,,,,,,,
4731,Unassigned,LA,,,,,,,324.0,214.0,,,,,,,,,,
4732,Out of ME,ME,,,,,,,0.0,0.0,,,,,,,,,,
4733,Unassigned,ME,,,,,,,0.0,0.0,,,,,,,,,,
4734,Baltimore City,MD,,,,,,,18100.0,506.0,,,,,,,,,,
4735,Out of MD,MD,,,,,,,0.0,0.0,,,,,,,,,,
4736,Unassigned,MD,,,,,,,0.0,10.0,,,,,,,,,,
4737,Dukes and Nantucket,MA,,,,,,,262.0,2.0,,,,,,,,,,
4738,Out of MA,MA,,,,,,,0.0,0.0,,,,,,,,,,
