county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Powder River,MT,1610,776,834,2.5,93.2,0,1.5,0,0,8.2
Powell,MT,6852,4243,2609,2.1,90,0.6,4.2,1.1,0,14.6
Prairie,MT,1325,681,644,1.3,98.6,0,0.1,0,0,10.1
Ravalli,MT,41387,20574,20813,3.3,93.2,0.1,0.6,0.6,0,16
Richland,MT,11405,5795,5610,5.2,89.4,0,3.6,0.5,0,5.9
Roosevelt,MT,11218,5543,5675,3.3,35.7,0.2,54.7,0.4,0,29.1
Rosebud,MT,9292,4654,4638,4.8,56.2,0.1,36.4,0.9,0,19.1
Sanders,MT,11414,5843,5571,2.7,90.3,0.1,3.6,0.5,0,21.2
Sheridan,MT,3568,1792,1776,2.6,90.9,0.1,1.4,0.9,0,12.2
Silver Bow,MT,34514,17354,17160,4.2,91,0.5,2,0.8,0,19.2
Stillwater,MT,9342,4651,4691,3.5,93.4,0.2,1,0.2,0,6.5
Sweet Grass,MT,3646,1763,1883,1.6,93.9,0.1,0,1,0,10.4
Teton,MT,6040,2969,3071,1.5,94.2,0.2,1.2,0.2,0,9.8
Toole,MT,5031,2865,2166,3.5,88,0.1,5.1,0.7,0,16.6
Treasure,MT,790,377,413,2.4,94.6,0,0,1.5,0,17
Valley,MT,7561,3763,3798,2.4,84.9,0.1,8.9,0.4,0.2,7.4
Wheatland,MT,2108,1084,1024,2.8,94.4,0,1.3,0,0,19.8
Wibaux,MT,1121,560,561,3.7,96.2,0,0.2,0,0,10.8
Yellowstone,MT,156332,76868,79464,5.3,87,0.6,4,0.6,0.1,10.1
Alamance,NC,157844,75078,82766,12.3,65,18.9,0.3,1.5,0,17.6
Alexander,NC,37159,18797,18362,4.6,87,5.9,0.2,1.2,0.1,14.7
Alleghany,NC,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0,21
Anson,NC,25531,13361,12170,3.8,44.9,48.6,0.3,1.2,0,22.7
Ashe,NC,26833,13213,13620,5.2,92.5,0.8,0.4,0.4,0,19.4
Avery,NC,17535,9573,7962,5.1,89,4.2,0.5,0.6,0,14.7
Beaufort,NC,47316,22596,24720,7.6,65.8,25.6,0,0.1,0,19.1
Bertie,NC,19913,10057,9856,2.1,34.3,61.6,0.6,0.6,0,22
Bladen,NC,34130,16241,17889,7.5,54.2,34.4,2.3,0,0,24.5
Brunswick,NC,122586,59412,63174,4.7,81.6,10.5,0.3,0.6,0.1,14.1
Buncombe,NC,252268,121002,131266,6.4,83.7,6.1,0.4,1.2,0.1,13.2
Burke,NC,88898,43908,44990,5.9,82.3,5.9,0.5,3.6,0.1,19.3
Cabarrus,NC,196716,95708,101008,10,68,16.7,0.3,3,0.1,11.5
Caldwell,NC,81805,40361,41444,5.1,87.9,4.9,0.4,0.6,0,16.4
Camden,NC,10336,5103,5233,2.7,80.4,14.3,0.1,1.9,0,9
Carteret,NC,68699,33760,34939,4.2,86.4,5.7,0.2,1.1,0,12.5
Caswell,NC,22833,11490,11343,3.8,61.1,33,0.1,0.6,0.2,21.3
Catawba,NC,156182,76437,79745,9.3,76.1,7.9,0.2,4.1,0,14.2
Chatham,NC,68364,33000,35364,12.6,71.4,11.7,0.2,1.4,0.1,13.3
Cherokee,NC,27463,13483,13980,3,91.5,1.4,1.2,0.7,0,16.8
Chowan,NC,14370,6878,7492,3.6,59.7,33.8,0.8,0,0,22.8
Clay,NC,10753,5117,5636,3.3,95,1.6,0.1,0,0,17.5
Cleveland,NC,97038,46733,50305,3.3,73.4,20.7,0.2,1,0,19.9
Columbus,NC,56589,27882,28707,5.1,59.5,30.4,3.4,0.4,0,23.6
Craven,NC,103374,52488,50886,7.1,66,21,0.5,2.8,0,15.4
Cumberland,NC,332766,165787,166979,11.2,44.6,35.5,1.2,2.4,0.2,18.2
Currituck,NC,25247,12522,12725,3.6,87.5,5.3,0.4,0.4,0,9.1
Dare,NC,35412,17441,17971,7.1,87.6,1.8,0.3,0.6,0,8.9
Davidson,NC,164118,80121,83997,6.9,80.8,9.1,0.3,1.5,0,15.8
Davie,NC,41766,20394,21372,6.5,84.9,6.1,0.1,0.7,0,14
Duplin,NC,59350,29020,30330,21.7,51.8,24.5,0.3,0.4,0,26.3
Durham,NC,300865,143946,156919,13.5,42.1,36.9,0.2,4.7,0,16.4
Edgecombe,NC,54032,25088,28944,4.3,36.5,57.2,0.1,0.1,0.1,24.6
Forsyth,NC,368362,174966,193396,12.6,57.3,25.7,0.2,2.2,0.1,18.7
Franklin,NC,63866,31817,32049,8.1,63.5,25.4,0.4,0.5,0,16.4
Gaston,NC,214049,103191,110858,6.6,73.6,15.5,0.4,1.5,0,16.5
Gates,NC,11601,5662,5939,0.7,62.5,32.9,0.9,0.4,0,12.4
Graham,NC,8607,4212,4395,1.1,87.4,0.2,10.6,0,0,19
Granville,NC,58503,29686,28817,7.6,58.2,30.6,0.5,0.4,0,14.3
Greene,NC,21059,11380,9679,14.9,46.9,35.4,0.4,0.1,0,25.8
Guilford,NC,517197,245216,271981,7.7,51.4,33.3,0.4,4.8,0,16.7
Halifax,NC,52300,25152,27148,2.7,38.7,52.6,3.5,0.8,0,26.8
Harnett,NC,128753,63747,65006,12.3,62.1,20.6,0.8,1,0.1,18
Haywood,NC,59854,29008,30846,3.7,93.1,1,0.4,0.5,0,16.6
Henderson,NC,112156,54226,57930,9.9,83.5,3.1,0.2,1.1,0.1,11.8
Hertford,NC,24262,12026,12236,3.7,33.6,57.4,1.1,0.7,0.1,23.3
Hoke,NC,52571,25993,26578,12.8,40.5,32.5,7.9,1.4,0.1,21.9
Hyde,NC,5507,2918,2589,8.4,59.8,30.7,0.1,0,0,20.3
Iredell,NC,169798,83570,86228,7.4,76.4,12.3,0.2,2.3,0,12.7
Jackson,NC,41725,20395,21330,5.5,81,2.1,7.9,1,0,21.6
Johnston,NC,186308,91408,94900,13.3,68.7,15.1,0.5,0.7,0,14.5
Jones,NC,9776,4771,5005,4.5,62.2,30.4,0.3,0.2,0,26.4
Lee,NC,59805,29055,30750,19.3,58.2,18.9,0.7,1,0,17.5
Lenoir,NC,57934,27701,30233,7.5,49.7,38.7,0.4,0.6,0,22.3
Lincoln,NC,80504,39867,40637,7,85.3,4.9,0.2,0.5,0,15.2
Macon,NC,34160,16467,17693,6.8,89.5,1.3,0.6,0.8,0,17.7
Madison,NC,21347,10564,10783,2.5,93.9,1.8,0.3,0.6,0,17.8
Martin,NC,23227,10910,12317,3.7,52.1,41.8,0.4,1.2,0,19.2
McDowell,NC,45069,22706,22363,6,87.7,3.8,0.4,0.7,0,19.3
Mecklenburg,NC,1034290,497122,537168,12.9,47.9,30.7,0.2,5.5,0,13.4
Mitchell,NC,15155,7433,7722,5,92.7,0.3,0.6,0.2,0,15.4
Montgomery,NC,27445,13584,13861,15.4,63.3,18.6,0.2,1.5,0,20.9
Moore,NC,94191,45332,48859,6.4,77.2,12.5,0.9,1.2,0,13.3
Nash,NC,94125,45178,48947,6.7,50.9,39.2,0.7,0.9,0,15.9
New Hanover,NC,219866,105213,114653,5.4,76.9,14,0.3,1.3,0.1,18
Northampton,NC,20426,9944,10482,2.1,38.6,56.9,0.5,0.3,0,25.4
Onslow,NC,192685,107245,85440,12.2,66.8,13.7,0.4,2.1,0.2,14.1
Orange,NC,141812,67598,74214,8.3,69.4,11.4,0.4,7.6,0,14
Pamlico,NC,12803,6561,6242,3.6,74.3,18.2,0.5,0.2,0.7,15.1
Pasquotank,NC,39546,19203,20343,4.9,54.9,36.2,0.1,1.7,0.3,18.1
Pender,NC,57630,28562,29068,6.8,74.5,15.6,0.3,0.5,0.1,15.8
Perquimans,NC,13506,6485,7021,2.5,72,23.4,0.2,0.3,0.1,18.8
Person,NC,39240,18973,20267,4.1,66.5,26.9,0.8,0.2,0,18.1
Pitt,NC,176484,83309,93175,6,55.1,34.3,0.2,1.7,0,24.3
Polk,NC,20434,9782,10652,5.8,88,5.1,0.2,0.4,0,10.9
Randolph,NC,142827,70344,72483,11.1,79.7,5.9,0.3,1.1,0,16.7
Richmond,NC,45447,22193,23254,6.2,57.6,31.1,1.9,1,0,26.1
Robeson,NC,134187,64702,69485,8.5,25.7,24,38.6,0.7,0,29.2
Rockingham,NC,91566,44133,47433,6,72.6,18.5,0.5,0.5,0.1,18.5
Rowan,NC,138940,68811,70129,8.3,72.7,16.1,0.2,0.9,0,16.8
Rutherford,NC,66523,32275,34248,4.1,83.6,10,0.5,0.5,0,19.6
Sampson,NC,63664,31251,32413,18.9,51.6,25,1.6,0.5,0,24.3
Scotland,NC,35445,17546,17899,2.8,43.9,38.6,11.1,0.7,0,29.8
Stanly,NC,60875,30309,30566,4,81.2,11.1,0.3,1.9,0,15.7
Stokes,NC,46124,22555,23569,2.8,91.3,4,0.3,0.4,0,13.9
Surry,NC,72315,35166,37149,10.2,84.4,3.7,0.3,0.6,0,17.6
Swain,NC,14208,6865,7343,4.9,62.7,0.5,27.6,0.4,0,20.9
Transylvania,NC,33291,16018,17273,3.2,89.4,4,0.4,0.6,0,15.5
Tyrrell,NC,4090,2367,1723,7.6,53.2,35.5,0.8,0.4,0,26.8
Union,NC,222095,109435,112660,10.9,73,11.4,0.3,2.4,0,9.4
Vance,NC,44420,20915,23505,7.3,40.6,49.8,0.3,0.5,0,23
Wake,NC,1023811,497677,526134,10,60.6,20,0.3,6.4,0,10.1
Warren,NC,20190,10116,10074,3.8,38.3,50.1,5,0.4,0,22.3
Washington,NC,12331,5846,6485,5,44.9,48.2,0.1,0.2,0,24.1
Watauga,NC,53421,26657,26764,3.4,91.9,1.5,0.3,0.8,0.1,28.3
Wayne,NC,124496,61075,63421,11.3,54.1,30.1,0.3,1.2,0,21.2
Wilkes,NC,68525,33737,34788,6.1,87.9,4.1,0.3,0.5,0.1,20.9
Wilson,NC,81379,38532,42847,10.1,47.3,39.5,0.4,0.8,0,20.6
Yadkin,NC,37825,18574,19251,10.9,84.5,3.4,0.1,0.1,0.1,17.3
Yancey,NC,17605,8689,8916,4.9,92.8,0.8,0.4,0.2,0.1,19.6
Adams,ND,2368,1168,1200,0.5,93,1.6,1.1,2.6,0,9.2
Barnes,ND,10971,5397,5574,1.9,92.9,0.9,2,0.5,0,10
Benson,ND,6875,3520,3355,0.9,41.3,0,55.7,0.1,0,33.3
Billings,ND,983,566,417,4.1,94.4,0.9,0.6,0,0,10.3
Bottineau,ND,6651,3478,3173,2.2,92,0.8,2.4,0.3,0,8.6
Bowman,ND,3226,1544,1682,5.1,92.6,0.1,1.2,0,0,8.5
Burke,ND,2253,1198,1055,1.6,93.4,0.4,2.8,0,0,7.3
Burleigh,ND,92372,46218,46154,2.2,89.9,1.7,3.7,0.7,0,8.5
Cass,ND,170620,86284,84336,2.5,87.1,4.3,1,2.9,0,11.2
Cavalier,ND,3817,1944,1873,1,95.7,0.3,1.1,0,0,8.6
Dickey,ND,5041,2513,2528,3.4,93.6,1.4,1.1,0.4,0,6.3
Divide,ND,2378,1217,1161,1.1,93.3,1,1.1,1.5,0,13
Dunn,ND,4349,2306,2043,2.7,83.9,1,9.2,1.4,0.2,10.6
Eddy,ND,2321,1146,1175,1.8,89.2,0,5.6,0,0.1,13.2
Emmons,ND,3389,1693,1696,0.3,96.7,0,0.1,0.9,0,11.9
Foster,ND,3318,1645,1673,1.3,95.9,0.2,0.8,0.2,0,7.1
Golden Valley,ND,1892,930,962,1.7,93.9,0,0.7,0,0,9.4
Grand Forks,ND,70130,36438,33692,4,85,3.4,2.5,2.6,0.1,17
Grant,ND,2387,1188,1199,0.8,96.9,0.1,1.4,0.1,0,12.8
Griggs,ND,2276,1153,1123,0.3,96.2,1.4,0.9,0,0,8
Hettinger,ND,2601,1242,1359,3.7,91.2,0.7,2.6,0,0.2,9.3
Kidder,ND,2457,1316,1141,4.9,93.8,0.5,0.2,0.2,0,6.9
LaMoure,ND,4106,2129,1977,1,97.1,0.1,0.7,0,0,10.7
Logan,ND,1932,993,939,1.6,96.3,0.1,0.3,0.3,0,7.5
McHenry,ND,5951,3091,2860,2.3,95.1,0.2,1.6,0.1,0,7.9
McIntosh,ND,2680,1310,1370,2.2,95.1,0,0.3,1,0,9.9
McKenzie,ND,11679,6243,5436,7,78,0.6,12.1,0.6,0,11.7
McLean,ND,9607,4974,4633,2.3,89.6,0.6,6.5,0,0,8.9
Mercer,ND,8637,4451,4186,2.7,93.1,0.9,2.7,0.4,0,7.3
Morton,ND,30059,15395,14664,2.7,90.9,0.6,4,0.1,0,7.9
Mountrail,ND,9986,5519,4467,7,62.9,1.1,25.9,0.4,0,11.2
Nelson,ND,2971,1530,1441,2.5,96.7,0,0.3,0,0,8.4
Oliver,ND,1822,950,872,3.7,91.5,0.4,2.7,0.4,0,3.1
Pembina,ND,7050,3667,3383,3.3,91.6,0.2,2.3,0.5,0,5.6
Pierce,ND,4272,2155,2117,1,94.1,0.8,3.6,0,0,17.6
Ramsey,ND,11574,5897,5677,2.5,84.6,0,9.3,0.6,0,12.1
Ransom,ND,5411,2772,2639,1.6,95,0.7,0.2,0.6,0,6.6
Renville,ND,2543,1241,1302,5.4,92.1,0.5,0.5,0.5,0,4.8
Richland,ND,16333,8434,7899,2.7,91.9,0.5,2.6,0.4,0,9.7
Rolette,ND,14657,7250,7407,0.5,18.8,0.5,78.1,0.3,0,32.4
Sargent,ND,3883,2008,1875,3,93.2,1,0.9,0.4,0,4.3
Sheridan,ND,1403,686,717,0.9,97.5,0,0.4,0,0,15.4
Sioux,ND,4420,2212,2208,3.9,12.5,0,81.6,0,0,37.1
Slope,ND,674,350,324,0.6,92.4,5.9,0,0,0,6.8
Stark,ND,30316,15719,14597,5.1,88.6,1.7,1,1.2,0,8.1
Steele,ND,1915,1003,912,2.6,97.4,0,0,0,0,3.8
Stutsman,ND,21058,10781,10277,2.3,92.9,1.1,1.5,0.6,0.1,11.1
Towner,ND,2258,1143,1115,1.6,90.4,0,3.6,0.1,0,12.4
Traill,ND,8050,4091,3959,3.4,92.7,1,1,0.2,0.2,6.9
Walsh,ND,10920,5606,5314,11.1,84.9,0.3,1.6,1,0,9.9
Ward,ND,69628,36366,33262,5.6,84.1,3.6,2.3,1.4,0.1,8.4
Wells,ND,4089,2036,2053,1.2,97.7,0,0.4,0,0,5.8
Williams,ND,32916,18015,14901,6.1,82.6,3.4,2.8,0.7,0,9
Adams,NE,31564,15981,15583,9.4,86.9,0.6,0.1,1.3,0,12.4
Antelope,NE,6406,3213,3193,3.2,95.3,0.2,0.3,0.4,0,11.5
Arthur,NE,421,204,217,0,97.6,0,0,0,0,10.9
Banner,NE,728,356,372,7.8,89.4,0.5,0,0,0,8.9
Blaine,NE,502,256,246,0,98,0,0,0.6,1.4,9.8
Boone,NE,5357,2691,2666,2,96.7,0.5,0,0.1,0.1,7.3
Box Butte,NE,11200,5671,5529,12.1,82.3,0.6,2.8,0.3,0.3,10.9
Boyd,NE,2049,1038,1011,0.7,95,0.5,1.5,0.9,0,9.8
Brown,NE,3058,1468,1590,1.2,96.5,0,0.2,0.4,0,16
Buffalo,NE,48834,24367,24467,8.7,87.4,1.1,0.1,1.3,0,14.4
Burt,NE,6546,3231,3315,2.7,93.6,0.6,1.8,0.4,0,12.3
Butler,NE,8105,4085,4020,3,95,0.5,0.2,0.4,0,7.8
Cass,NE,25513,12813,12700,3.1,94,0.3,0.2,0.3,0.3,6.3
Cedar,NE,8561,4349,4212,1.7,97,0,0.8,0,0,9.7
Chase,NE,3803,1892,1911,10.5,88.9,0.1,0,0,0,8
Cherry,NE,5792,2871,2921,3.1,88.5,0,4,0.2,0.2,9
Cheyenne,NE,10012,4899,5113,6.7,89.9,0.4,0.3,0.8,0,10.9
Clay,NE,6264,3210,3054,8.9,89.2,0.4,0.2,0.3,0,11.1
Colfax,NE,10616,5527,5089,44.8,51.1,2.8,0,0.6,0.1,8.2
Cuming,NE,9039,4557,4482,9.9,88.5,0.1,0.4,0.1,0.2,8
Custer,NE,10836,5357,5479,2.9,95,0.8,0,0.8,0,11.9
Dakota,NE,20529,10074,10455,38.4,49.8,4.3,2.3,3,0,16.8
Dawes,NE,8972,4495,4477,4.8,85.3,0.9,2.8,0.9,2.2,14.3
Dawson,NE,23925,12235,11690,33.1,60,5.7,0.4,0,0.1,13.7
Deuel,NE,1901,915,986,7.8,89.5,0.1,1,0.3,0,11.1
Dixon,NE,5765,2905,2860,12.6,85.6,0.3,0.5,0.1,0.1,10.3
Dodge,NE,36576,17980,18596,11.8,84.9,0.7,0.3,0.6,0.2,13.2
Douglas,NE,549706,270917,278789,12.2,70.2,10.9,0.3,3.4,0,13.5
Dundy,NE,2017,1004,1013,14.6,84.8,0.1,0,0,0,10.5
Fillmore,NE,5603,2800,2803,3.9,94,0.6,0.4,0.2,0,9.9
Franklin,NE,3019,1514,1505,2.1,96.2,0.5,0,0.2,0,13.3
Frontier,NE,2624,1324,1300,1.4,96.4,0,0.6,0.1,0,10.9
Furnas,NE,4814,2356,2458,3.7,94.2,0.3,0,0.1,0,13.5
Gage,NE,21632,10816,10816,2.3,95,0.6,0.4,0.6,0.2,9.1
Garden,NE,1913,960,953,3.9,94.2,0.2,0.2,0.9,0,11.7
Garfield,NE,1958,970,988,2.1,96.6,0.2,0,0.3,0,7.2
Gosper,NE,2019,988,1031,2,96.2,0,0,0.6,0,5.7
Grant,NE,682,346,336,1.9,96.2,0.9,0,0,0,21.1
Greeley,NE,2436,1203,1233,2,96.2,0.6,0,0.4,0,9.8
Hall,NE,61233,30843,30390,26.8,68,2.2,0.3,1.2,0.2,13.5
Hamilton,NE,9149,4566,4583,3.2,95.2,0.7,0.1,0.1,0,7.2
Harlan,NE,3469,1811,1658,3.7,94.2,0.9,0.3,0.3,0,12.9
Hayes,NE,957,494,463,5.9,93.8,0,0,0,0,9
Hitchcock,NE,2860,1423,1437,0.8,98.9,0.1,0,0,0,14.2
Holt,NE,10293,5157,5136,4.3,94,0.1,0.8,0.5,0,8.9
Hooker,NE,684,315,369,2.9,96.2,0.9,0,0,0,17.4
Howard,NE,6385,3212,3173,2.5,95.6,0,0,0,0.1,10.2
Jefferson,NE,7276,3511,3765,3.6,94.2,0,0.7,0.1,0,10.6
Johnson,NE,5200,3087,2113,9.9,80.8,6.8,0.7,0.9,0,10.1
Kearney,NE,6547,3229,3318,5.8,92.7,0.1,0.3,0.2,0,9.4
Keith,NE,8129,4121,4008,6.8,90.5,0.7,0.4,1.1,0.3,13.1
Keya Paha,NE,720,368,352,1.1,97.8,0.1,0,0.1,0,7.7
Kimball,NE,3688,1840,1848,8.8,88.2,0.1,0.1,0.8,0,11.4
Knox,NE,8496,4147,4349,2.6,86.2,0.2,9.2,0.3,0.2,12.3
Lancaster,NE,306357,153788,152569,6.7,82.1,3.9,0.4,4.2,0.1,14
Lincoln,NE,35569,17490,18079,8.2,88.4,0.9,0.2,0.6,0,12.6
Logan,NE,919,471,448,2.9,93.9,0.7,0.2,0,0,9.7
Loup,NE,537,260,277,0,99.6,0,0.4,0,0,8.9
Madison,NE,35062,17437,17625,14.5,80.7,1.4,1.3,1.1,0,16
McPherson,NE,432,221,211,0.9,96.8,0,0,0,0,16
Merrick,NE,7829,3898,3931,4.1,92.9,0.6,0.2,0.1,0,10
Morrill,NE,4903,2460,2443,15.4,82.1,0.8,0.5,0.1,0,9.4
Nance,NE,3569,1764,1805,2.5,96.9,0.1,0.3,0.1,0.1,11.7
Nemaha,NE,7041,3476,3565,2.6,94.3,1.4,0.6,0.7,0,11.5
Nuckolls,NE,4318,2163,2155,2.6,95.5,0.3,0,1.2,0,10.8
Otoe,NE,15875,7783,8092,7.6,89.5,0.2,0.4,0.5,0,10
Pawnee,NE,2704,1317,1387,1.8,95.4,0,0.2,0,0,20.5
Perkins,NE,2904,1474,1430,3.8,95.5,0.1,0,0,0,4.8
Phelps,NE,9163,4603,4560,5.4,92.7,0.1,0.2,0.2,0,7.1
Pierce,NE,7175,3598,3577,1.6,96.7,0.3,0.1,0.4,0.1,6.8
Platte,NE,32875,16662,16213,17.6,80,0.4,0.3,0.6,0,8.6
Polk,NE,5244,2578,2666,4.8,92.9,0.1,0.3,0.1,0,7.6
Red Willow,NE,10870,5552,5318,4.9,92.2,1.1,0,0.3,0,11.7
Richardson,NE,8045,4036,4009,1.9,92.5,0.2,1.8,0.2,0,16.3
Rock,NE,1381,690,691,0.9,97.6,0.3,0,0,0,9.7
Saline,NE,14325,7320,7005,24.3,70.7,0.7,0.4,2.9,0,11.6
Sarpy,NE,175188,87568,87620,8.7,81.8,3.7,0.3,2.5,0.1,5.3
Saunders,NE,20953,10546,10407,2.1,95.6,0.3,0.2,0.3,0,9
Scotts Bluff,NE,36509,17659,18850,23.4,72.6,0.6,1.2,0.6,0,13.2
Seward,NE,17045,8582,8463,2.5,95,0.5,0.1,0.6,0,9.2
Sheridan,NE,5241,2604,2637,4.7,81.9,0.5,8.7,0.4,0,15.8
Sherman,NE,3048,1518,1530,2,97.1,0,0,0.6,0,10.7
Sioux,NE,1256,647,609,3.8,90,0.4,0.2,0.2,0,12.4
Stanton,NE,6020,3013,3007,5.3,92.2,1.3,0,0.3,0,9.5
Thayer,NE,5133,2547,2586,2.3,95.5,0.3,0.3,0,0,10.9
Thomas,NE,643,344,299,0.6,97.4,0,0.3,0,0,12.4
Thurston,NE,7055,3502,3553,5.1,36.7,0.2,55.6,0.7,0,30.5
Valley,NE,4252,2111,2141,2.8,95.7,0.4,0.2,0,0,11.5
Washington,NE,20414,10118,10296,2.8,94.7,1,0.1,0.3,0,9.8
Wayne,NE,9409,4772,4637,5.5,90.2,2.1,0.5,0.5,0,13.5
Webster,NE,3597,1774,1823,4.7,92.1,0.2,0,0.6,0.1,11.3
Wheeler,NE,846,444,402,0.7,98.9,0,0,0.1,0,2.6
York,NE,13832,6795,7037,4.9,90.9,1.2,0.3,0.3,0,9.7
Belknap,NH,60383,29705,30678,1.6,95.3,0.5,0.2,1,0,9.1
Carroll,NH,47524,23734,23790,1.4,96.1,0.5,0.1,0.6,0,9.2
Cheshire,NH,76109,37199,38910,1.7,94.5,0.7,0.2,1.3,0,10.2
Coos,NH,32119,16923,15196,1.7,93.6,2.3,0.4,0.6,0.1,13.3
Grafton,NH,89280,43952,45328,2.2,91.2,1,0.4,3.4,0.1,10.9
Hillsborough,NH,406371,201775,204596,6.3,85.7,2.1,0.1,3.8,0,8.6
Merrimack,NH,147958,72864,75094,2,93.1,1.2,0.1,1.8,0,7.7
Rockingham,NH,302479,149778,152701,2.7,93.2,0.7,0.1,1.9,0,4.8
Strafford,NH,126552,61938,64614,2.2,91.4,0.8,0,3.2,0,9.5
Sullivan,NH,43073,21263,21810,1.4,95.4,0.4,0.3,0.6,0,9.4
Atlantic,NJ,272926,132171,140755,18.5,56.4,14.3,0.2,8.4,0,15.3
Bergen,NJ,937920,454204,483716,18.9,57.8,5.3,0.1,16.2,0,7.2
Burlington,NJ,449192,220995,228197,7.6,68.3,15.7,0,4.8,0,6.4
Camden,NJ,510996,246942,264054,16.1,57.5,18.1,0.1,5.7,0,13.1
Cape May,NJ,94549,46158,48391,7.4,85.6,4.5,0,1,0,10.6
Cumberland,NJ,154952,79550,75402,29.7,47.4,17.7,0.5,1.3,0,18.8
Essex,NJ,800401,384515,415886,22.4,31.1,38.8,0.1,5.1,0,16.7
Gloucester,NJ,291372,141589,149783,5.8,79.1,9.9,0,3,0,7.9
Hudson,NJ,679756,337345,342411,43.2,28.8,10.8,0.1,15,0.1,17.1
Hunterdon,NJ,125717,62901,62816,6.2,86.3,2.5,0.1,3.8,0,4.5
Mercer,NJ,373362,182693,190669,16.9,50.8,19.7,0,10.7,0,11.3
Middlesex,NJ,837288,412127,425161,20.4,44.3,9.3,0.1,23.9,0,8.6
Monmouth,NJ,627551,305192,322359,10.6,75.4,6.7,0.1,5.4,0,7.6
Morris,NJ,498847,244480,254367,13,72,3,0,10.1,0,4.6
Ocean,NJ,589699,283959,305740,9,84.9,2.8,0,1.9,0,10.9
Passaic,NJ,510563,248308,262255,40.5,42,10.6,0.2,5.2,0,17
Salem,NJ,63776,31105,32671,8.3,75.1,13.1,0.2,0.9,0,14.2
Somerset,NJ,333316,162775,170541,14.4,57.7,9,0.1,17,0,4.8
Sussex,NJ,143570,71475,72095,7.5,87.2,2,0,2,0,5.3
Union,NJ,557320,271607,285713,30.7,40.7,20.1,0.1,4.9,0,10.3
Warren,NJ,107088,52230,54858,8.6,82.9,4.2,0.1,2.9,0,8.2
Bernalillo,NM,674855,330743,344112,49.5,39.5,2.5,4,2.3,0.1,18
Catron,NM,3547,1861,1686,15.8,83.3,0.3,0.1,0.3,0,21.5
Chaves,NM,65454,32536,32918,55.6,40.4,1.5,0.8,0.6,0,21.2
Cibola,NM,27049,13678,13371,38,20,1,39.2,0.4,0,28.5
Colfax,NM,12522,6317,6205,49.2,47.2,0.6,1,0.3,0,23.5
Curry,NM,50283,26139,24144,41,49.1,5.5,0.9,1.4,0.1,22.5
De Baca,NM,2016,926,1090,46,52.2,1.5,0,0,0,22.7
Doña Ana,NM,213849,105094,108755,67.7,28,1.6,0.7,1,0,27.9
Eddy,NM,56793,28792,28001,47.5,48.5,1.4,1.3,0.5,0,14.6
Grant,NM,28382,13940,14442,50,46.5,0.7,1.5,0.1,0,22
Guadalupe,NM,4426,2645,1781,82.1,15.1,1.3,1.3,0,0,13
Harding,NM,546,291,255,37.4,62.3,0,0,0,0,19.8
Hidalgo,NM,4446,2179,2267,57.9,40.8,0.7,0.6,0,0,26
Lea,NM,69505,35804,33701,56.8,37.2,3.6,0.7,0,0,16.1
Lincoln,NM,19497,9399,10098,31.9,63.4,0.6,1.6,0.5,0,15.4
Los Alamos,NM,18031,9135,8896,17.2,72.9,0.3,1,6,0,5.1
Luna,NM,24319,12057,12262,65.9,31,1.2,0.8,0.5,0,31.8
McKinley,NM,72849,35209,37640,14.1,9.1,0.5,73.3,0.9,0,37.5
Mora,NM,4605,2286,2319,79,14,0.1,0,0,0,20.3
Otero,NM,65130,33478,31652,37.5,49.8,3.1,6.2,1.2,0,21.4
Quay,NM,8447,4057,4390,44.7,50.4,1.6,1,0.7,0.2,21.6
Rio Arriba,NM,39455,19338,20117,71.4,12.9,0.4,14,0.4,0,26.4
Roosevelt,NM,19313,9665,9648,41,53.1,2.8,0.5,0.5,0,27.5
San Juan,NM,128221,63529,64692,19.9,39.2,0.5,37.7,0.6,0.1,20.8
San Miguel,NM,28203,14114,14089,77.6,18.1,1,1.1,0.7,0,30.9
Sandoval,NM,138815,67939,70876,37.9,44.6,1.8,12,1.3,0.1,14.7
Santa Fe,NM,147514,71878,75636,51.2,42.9,0.6,2.5,1.2,0.1,14.4
Sierra,NM,11254,5513,5741,29.9,65.7,0.6,1.1,0.5,0,21.2
Socorro,NM,17098,9066,8032,49.7,35.1,0.1,8.8,2.2,0,26.6
Taos,NM,32809,16054,16755,56.8,35.4,0.2,6.5,0.2,0,21.3
Torrance,NM,15534,8126,7408,42.1,52.2,1.7,1.1,0.2,0,27.1
Union,NM,4216,2285,1931,41.3,52,1.3,2.2,0,0,14.2
Valencia,NM,75845,38013,37832,60,33.6,0.8,3.6,0.5,0,22
Carson City,NV,54219,27794,26425,23.4,68.1,1.6,2,2.4,0.1,14.7
Churchill,NV,24022,12177,11845,13.4,73.9,2.4,4,2.4,0.2,13.8
Clark,NV,2112436,1056002,1056434,30.7,44.1,10.8,0.4,9.5,0.7,14.6
Douglas,NV,47632,24047,23585,12.3,81.1,0.6,1.8,1.3,0.2,9.8
Elko,NV,52377,27185,25192,24.2,67.2,0.8,5.2,1,0.2,11.5
Esmeralda,NV,1102,485,617,15.6,80,0.7,2.4,0,0,6.8
Eureka,NV,1728,849,879,1.6,96.7,0.1,1.7,0,0,10
