county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Douglas,CO,320940,159804,161136,8.3,83.3,1.1,0.1,4.4,0.1,3.6
Eagle,CO,53726,28560,25166,29.6,67.3,0.8,0.4,0.9,0.1,7.7
El Paso,CO,674826,340118,334708,16.5,69.9,5.8,0.4,2.7,0.4,11.1
Elbert,CO,24553,12442,12111,6.5,89.4,0.6,0.5,0.6,0,4.8
Fremont,CO,46601,27073,19528,13,79.5,4.5,1,0.7,0.1,15.8
Garfield,CO,57945,29334,28611,28.1,68.6,0.4,0.5,0.8,0,9.6
Gilpin,CO,5793,3108,2685,9.2,86.2,0.6,1.3,0.3,0,5.6
Grand,CO,14793,7997,6796,8.1,86.9,0.4,0,1.9,0.7,13.1
Gunnison,CO,16215,8795,7420,9.1,87.4,0.3,0.8,0.5,0.1,14.1
Hinsdale,CO,820,384,436,6,90.9,0,1.6,0,0,12
Huerfano,CO,6498,3230,3268,34.7,64.2,0.2,0.3,0.1,0,14.8
Jackson,CO,1372,676,696,24.4,74.9,0,0.4,0,0,12.8
Jefferson,CO,564029,280635,283394,15.2,78.7,1,0.4,2.7,0.1,7.8
Kiowa,CO,1368,687,681,4.4,88,0.6,0,0,0,10.6
Kit Carson,CO,7846,4392,3454,19.2,76.3,3.2,0.1,0.4,0.5,11.5
La Plata,CO,54469,27424,27045,12.6,79,0.5,5.2,0.6,0,9.6
Lake,CO,7481,4079,3402,33.9,64.3,0.1,0,0.6,0,12.8
Larimer,CO,330976,164920,166056,11.2,83.2,0.9,0.5,2,0.1,12.4
Las Animas,CO,14151,7323,6828,42.4,52.7,0.8,2.1,0.8,0,17
Lincoln,CO,5520,3522,1998,22.7,66.4,9,1,0.2,0.3,14
Logan,CO,21885,11723,10162,15.5,78.1,1.1,0.7,1,0,16.8
Mesa,CO,148798,73478,75320,14.2,81.8,0.7,0.6,0.7,0.1,16
Mineral,CO,834,433,401,12.6,83.8,1.6,0,0.4,0,12
Moffat,CO,13056,6772,6284,14.9,81.4,1,0.5,0.1,0.6,10.1
Montezuma,CO,25770,12664,13106,12.2,73.1,0.2,11.8,0.1,0.1,16.8
Montrose,CO,40908,20182,20726,20.5,76.2,0.4,0.5,0.7,0.3,17.8
Morgan,CO,28123,13997,14126,35.8,59.2,2.9,0.3,0.5,0.1,9.3
Otero,CO,18325,8957,9368,41.5,54.5,0.7,0.5,1,0.9,22.9
Ouray,CO,4653,2198,2455,5.7,92.5,0,0.3,0.5,0.1,10.4
Park,CO,16900,8935,7965,5.9,89.7,0.1,1.1,1,0.7,6.6
Phillips,CO,4327,2249,2078,20.1,77.4,0.2,0.3,0.4,0,8.1
Pitkin,CO,17747,9363,8384,9.8,85.7,1.2,0.2,1.4,0,7.1
Prowers,CO,12084,6111,5973,37.2,60,0.4,0.2,0.6,0,18.3
Pueblo,CO,163368,80330,83038,42.7,52.4,1.6,0.5,0.7,0.1,19.8
Rio Blanco,CO,6557,3325,3232,9.9,88.3,0.3,0.1,0.1,0.1,11.8
Rio Grande,CO,11430,5729,5701,44.6,52.2,0.3,1.7,0.2,0.2,18.1
Routt,CO,24359,12675,11684,6.9,89.8,0.8,0.5,1.1,0,10.7
Saguache,CO,6338,3141,3197,37,58.3,0,1,1.1,0,21
San Juan,CO,569,301,268,13.4,86.1,0,0.5,0,0,3.3
San Miguel,CO,7804,4150,3654,9.9,86.9,0.2,0.4,1,0,10.5
Sedgwick,CO,2357,1176,1181,11.2,82.5,1.3,0.5,1.5,0,17
Summit,CO,29722,16218,13504,14,81.9,0.9,0.3,0.4,0.2,10.3
Teller,CO,23769,11926,11843,6.2,89.5,0.7,0.4,1,0,7.5
Washington,CO,4809,2485,2324,9.6,87.8,0.9,0.3,0.5,0,9.9
Weld,CO,285729,143783,141946,29,66.4,1,0.4,1.3,0.1,11.2
Yuma,CO,10109,5010,5099,22.6,75.7,0.5,0.3,0,0,14.3
Fairfield,CT,947328,461380,485948,19,62.8,10.4,0.1,5.1,0,8.8
Hartford,CT,897417,435729,461688,17.3,62.5,12.8,0.1,5,0,11.2
Litchfield,CT,184454,91198,93256,5.7,89.4,1.5,0.1,1.9,0,6.8
Middlesex,CT,164110,80227,83883,5.9,84.4,4.9,0.1,2.9,0,7.2
New Haven,CT,862127,415863,446264,17.2,64.1,12.3,0.1,3.9,0,12.1
