year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2016,ALASKA,AK,DISTRICT 18,DONALD TRUMP,REPUBLICAN,2684,7402,0.362604701
2016,ALASKA,AK,DISTRICT 18,HILLARY CLINTON,DEMOCRAT,3909,7402,0.528100513
2020,ALASKA,AK,DISTRICT 18,DONALD J TRUMP,REPUBLICAN,2760,7720,0.357512953
2020,ALASKA,AK,DISTRICT 18,JOSEPH R BIDEN JR,DEMOCRAT,4681,7720,0.60634715
2016,ALASKA,AK,DISTRICT 19,DONALD TRUMP,REPUBLICAN,1636,4792,0.341402337
2016,ALASKA,AK,DISTRICT 19,HILLARY CLINTON,DEMOCRAT,2669,4792,0.55696995
2020,ALASKA,AK,DISTRICT 19,DONALD J TRUMP,REPUBLICAN,1975,5301,0.372571213
2020,ALASKA,AK,DISTRICT 19,JOSEPH R BIDEN JR,DEMOCRAT,3118,5301,0.588190907
2016,ALASKA,AK,DISTRICT 20,DONALD TRUMP,REPUBLICAN,2187,7140,0.306302521
2016,ALASKA,AK,DISTRICT 20,HILLARY CLINTON,DEMOCRAT,4151,7140,0.581372549
2020,ALASKA,AK,DISTRICT 20,DONALD J TRUMP,REPUBLICAN,2383,7497,0.317860478
2020,ALASKA,AK,DISTRICT 20,JOSEPH R BIDEN JR,DEMOCRAT,4881,7497,0.651060424
2016,ALASKA,AK,DISTRICT 21,DONALD TRUMP,REPUBLICAN,3479,8647,0.40233607
2016,ALASKA,AK,DISTRICT 21,HILLARY CLINTON,DEMOCRAT,4224,8647,0.488493119
2020,ALASKA,AK,DISTRICT 21,DONALD J TRUMP,REPUBLICAN,3690,9429,0.391345848
2020,ALASKA,AK,DISTRICT 21,JOSEPH R BIDEN JR,DEMOCRAT,5414,9429,0.574186022
2016,ALASKA,AK,DISTRICT 22,DONALD TRUMP,REPUBLICAN,4203,8372,0.502030578
2016,ALASKA,AK,DISTRICT 22,HILLARY CLINTON,DEMOCRAT,3270,8372,0.390587673
2020,ALASKA,AK,DISTRICT 22,DONALD J TRUMP,REPUBLICAN,4684,9520,0.492016807
2020,ALASKA,AK,DISTRICT 22,JOSEPH R BIDEN JR,DEMOCRAT,4553,9520,0.478256303
2016,ALASKA,AK,DISTRICT 23,DONALD TRUMP,REPUBLICAN,3246,6924,0.468804159
2016,ALASKA,AK,DISTRICT 23,HILLARY CLINTON,DEMOCRAT,2894,6924,0.417966493
2020,ALASKA,AK,DISTRICT 23,DONALD J TRUMP,REPUBLICAN,3655,7739,0.472283241
2020,ALASKA,AK,DISTRICT 23,JOSEPH R BIDEN JR,DEMOCRAT,3810,7739,0.492311668
2016,ALASKA,AK,DISTRICT 24,DONALD TRUMP,REPUBLICAN,4709,9080,0.518612335
2016,ALASKA,AK,DISTRICT 24,HILLARY CLINTON,DEMOCRAT,3578,9080,0.394052863
2020,ALASKA,AK,DISTRICT 24,DONALD J TRUMP,REPUBLICAN,5378,10428,0.515726889
2020,ALASKA,AK,DISTRICT 24,JOSEPH R BIDEN JR,DEMOCRAT,4736,10428,0.454161872
2016,ALASKA,AK,DISTRICT 25,DONALD TRUMP,REPUBLICAN,3816,8127,0.469545958
2016,ALASKA,AK,DISTRICT 25,HILLARY CLINTON,DEMOCRAT,3378,8127,0.415651532
2020,ALASKA,AK,DISTRICT 25,DONALD J TRUMP,REPUBLICAN,4407,9325,0.472600536
2020,ALASKA,AK,DISTRICT 25,JOSEPH R BIDEN JR,DEMOCRAT,4600,9325,0.493297587
2016,ALASKA,AK,DISTRICT 26,DONALD TRUMP,REPUBLICAN,4548,8905,0.510724312
2016,ALASKA,AK,DISTRICT 26,HILLARY CLINTON,DEMOCRAT,3374,8905,0.378888265
2020,ALASKA,AK,DISTRICT 26,DONALD J TRUMP,REPUBLICAN,5243,10111,0.51854416
2020,ALASKA,AK,DISTRICT 26,JOSEPH R BIDEN JR,DEMOCRAT,4558,10111,0.450796163
2016,ALASKA,AK,DISTRICT 27,DONALD TRUMP,REPUBLICAN,4085,8783,0.46510304
2016,ALASKA,AK,DISTRICT 27,HILLARY CLINTON,DEMOCRAT,3729,8783,0.424570192
2020,ALASKA,AK,DISTRICT 27,DONALD J TRUMP,REPUBLICAN,4324,9506,0.454870608
2020,ALASKA,AK,DISTRICT 27,JOSEPH R BIDEN JR,DEMOCRAT,4844,9506,0.509572901
2016,ALASKA,AK,DISTRICT 28,DONALD TRUMP,REPUBLICAN,5423,11427,0.474577754
2016,ALASKA,AK,DISTRICT 28,HILLARY CLINTON,DEMOCRAT,4749,11427,0.415594644
2020,ALASKA,AK,DISTRICT 28,DONALD J TRUMP,REPUBLICAN,6162,12749,0.483332026
2020,ALASKA,AK,DISTRICT 28,JOSEPH R BIDEN JR,DEMOCRAT,6264,12749,0.491332654
2016,ALASKA,AK,DISTRICT 29,DONALD TRUMP,REPUBLICAN,6347,9394,0.675644028
